K (strike),T (maturity),C (call price),V (call volume),A (call ask),B (call bid),P (put price),V (put volume),A (put ask),B (put bid),days_to_maturity,sigma (implied volatility)
175.0,2025-02-28,63.5,16.0,65.2,64.5,0.18,55.0,0.18,0.15,31,0.507184963861578
180.0,2025-02-28,59.39,10.0,60.1,59.45,0.19,71.0,0.21,0.18,31,0.4708723783259354
185.0,2025-02-28,50.9,50.0,55.1,54.35,0.22,7.0,0.24,0.22,31,0.1539885939211026
190.0,2025-02-28,46.12,50.0,50.2,49.65,0.28,48.0,0.29,0.27,31,0.1370736133023167
195.0,2025-02-28,44.53,10.0,45.25,44.8,0.34,99.0,0.36,0.34,31,0.39091460957671
200.0,2025-02-28,39.2,30.0,40.85,39.9,0.46,542.0,0.47,0.44,31,0.37124829226882017
205.0,2025-02-28,35.22,32.0,35.55,34.9,0.64,234.0,0.63,0.62,31,0.353520046901001
210.0,2025-02-28,30.0,14.0,30.95,30.5,0.88,573.0,0.9,0.87,31,0.3347200710954986
215.0,2025-02-28,26.57,58.0,26.4,25.95,1.31,474.0,1.32,1.28,31,0.3231431566904882
220.0,2025-02-28,21.2,421.0,21.85,21.6,1.92,846.0,1.94,1.9,31,0.3114735086867527
225.0,2025-02-28,17.46,471.0,17.7,17.5,2.9,332.0,2.87,2.81,31,0.30245583339428
230.0,2025-02-28,13.9,659.0,13.9,13.75,4.12,436.0,4.2,4.1,31,0.30102817836992984
235.0,2025-02-28,10.55,1045.0,10.75,10.6,5.92,230.0,6.0,5.85,31,0.291043523132176
240.0,2025-02-28,7.95,1668.0,8.0,7.9,8.25,192.0,8.2,8.05,31,0.2918058495524924
245.0,2025-02-28,5.6,1651.0,5.65,5.55,11.22,10.0,11.0,10.9,31,0.28393691889369804
250.0,2025-02-28,3.95,1554.0,4.0,3.9,14.11,90.0,14.4,14.2,31,0.2845774588610695
255.0,2025-02-28,2.71,358.0,2.72,2.66,18.0,17.0,18.25,17.8,31,0.28533182659259504
260.0,2025-02-28,1.82,1535.0,1.85,1.8,37.8,13.0,22.6,21.6,31,0.2867301408679683
195.0,2025-03-07,46.19,6.0,45.6,44.65,0.43,13.0,0.45,0.4,38,0.3700064955760892
205.0,2025-03-07,35.43,20.0,36.2,34.85,0.8,38.0,0.77,0.72,38,0.33759105115902177
215.0,2025-03-07,26.5,33.0,26.75,25.9,1.56,169.0,1.56,1.5,38,0.3097631131275329
220.0,2025-03-07,21.77,6.0,23.05,22.0,2.32,202.0,2.22,2.16,38,0.3038716511894181
225.0,2025-03-07,17.74,146.0,18.25,17.65,3.3,157.0,3.2,3.1,38,0.29561792226280453
230.0,2025-03-07,14.55,385.0,14.6,14.4,4.8,100.0,4.6,4.45,38,0.2910305479681079
235.0,2025-03-07,11.0,287.0,11.35,11.15,6.46,158.0,6.4,6.25,38,0.27411046500988284
240.0,2025-03-07,8.55,416.0,8.55,8.45,8.75,178.0,8.65,8.5,38,0.2798428696220742
260.0,2025-03-07,2.05,801.0,2.2,2.11,30.2,16.0,22.75,21.75,38,0.26849981133160933
20.0,2025-03-21,208.36,8.0,219.65,218.75,0.01,15.0,0.0,0.0,52,0.3199660689222619
55.0,2025-03-21,203.05,13.0,169.05,167.15,0.01,10.0,0.01,0.0,52,0.3199660689222619
85.0,2025-03-21,151.82,6.0,154.9,154.1,0.03,23.0,0.04,0.02,52,0.3199660689222619
95.0,2025-03-21,139.27,9.0,145.15,144.25,0.03,18.0,0.05,0.03,52,0.3199660689222619
160.0,2025-03-21,79.16,66.0,80.35,79.9,0.21,227.0,0.21,0.2,52,0.5024094933317137
165.0,2025-03-21,74.43,21.0,75.4,75.05,0.23,182.0,0.24,0.23,52,0.4748805121050428
180.0,2025-03-21,59.99,14.0,60.65,60.3,0.34,132.0,0.34,0.33,52,0.40168476866158903
185.0,2025-03-21,55.3,8.0,55.7,55.45,0.4,1420.0,0.4,0.39,52,0.37950884489677966
190.0,2025-03-21,50.85,67.0,50.75,50.3,0.48,438.0,0.48,0.46,52,0.3585268881681515
200.0,2025-03-21,40.59,90.0,41.15,40.95,0.77,1933.0,0.78,0.76,52,0.3233846251410586
205.0,2025-03-21,36.04,78.0,36.5,36.2,1.03,1216.0,1.04,1.02,52,0.3096423004290852
210.0,2025-03-21,31.3,84.0,31.8,31.6,1.43,1816.0,1.42,1.39,52,0.2992286979076485
215.0,2025-03-21,26.92,97.0,27.45,27.2,1.96,1696.0,1.97,1.94,52,0.28844152932585804
220.0,2025-03-21,23.0,662.0,23.15,23.0,2.69,4970.0,2.76,2.72,52,0.278726326588675
225.0,2025-03-21,18.9,1281.0,19.2,19.05,3.75,3266.0,3.8,3.7,52,0.2725567016131832
230.0,2025-03-21,15.55,2628.0,15.6,15.45,5.15,1327.0,5.15,5.1,52,0.271954192023007
235.0,2025-03-21,12.25,2532.0,12.4,12.3,7.0,4617.0,7.0,6.9,52,0.26470261693304975
240.0,2025-03-21,9.5,5523.0,9.6,9.5,9.25,1079.0,9.3,9.2,52,0.26007292645819613
245.0,2025-03-21,7.0,1592.0,7.25,7.15,11.94,255.0,12.05,11.9,52,0.25180097543395885
250.0,2025-03-21,5.35,6632.0,5.4,5.3,15.7,73.0,15.2,15.1,52,0.25602428303477415
260.0,2025-03-21,2.78,4982.0,2.81,2.76,22.0,13.0,22.9,22.65,52,0.2549114797589911
270.0,2025-03-21,1.44,2209.0,1.43,1.41,32.0,10.0,31.75,31.55,52,0.26048749015597716
275.0,2025-03-21,0.99,1493.0,1.03,1.01,52.4,35.0,36.8,36.0,52,0.2611335771725273
285.0,2025-03-21,0.57,227.0,0.58,0.57,41.59,191.0,46.5,45.45,52,0.27538675370925814
295.0,2025-03-21,0.38,237.0,0.36,0.34,42.07,10.0,56.35,55.55,52,0.2952177434134826
320.0,2025-03-21,0.13,150.0,0.14,0.12,67.05,10.0,81.4,80.35,52,0.3313958547034679
340.0,2025-03-21,0.06,20.0,0.08,0.06,116.26,8.0,91.8,91.15,52,0.3566568975366066
130.0,2025-04-17,91.76,23.0,110.9,110.2,0.2,20.0,0.16,0.14,79,0.23017822025591858
180.0,2025-04-17,52.98,39.0,61.6,60.8,0.52,19.0,0.53,0.52,79,0.060834384172628875
185.0,2025-04-17,56.5,7.0,56.7,56.25,0.65,31.0,0.64,0.62,79,0.34094536065256165
190.0,2025-04-17,47.33,10.0,52.05,51.25,0.8,192.0,0.78,0.77,79,0.3262263714040852
195.0,2025-04-17,46.95,2056.0,47.0,46.8,0.96,2057.0,0.98,0.96,79,0.309661335183372
200.0,2025-04-17,42.25,1489.0,42.45,42.05,1.23,2603.0,1.25,1.23,79,0.29777991698269096
205.0,2025-04-17,37.26,31.0,37.85,37.5,1.62,923.0,1.63,1.6,79,0.28832437868482313
210.0,2025-04-17,33.0,49.0,33.35,33.1,2.18,588.0,2.13,2.09,79,0.28141939207716166
215.0,2025-04-17,28.23,286.0,29.05,28.8,2.86,1019.0,2.8,2.76,79,0.27314490619012566
220.0,2025-04-17,24.25,522.0,24.9,24.75,3.75,496.0,3.7,3.65,79,0.25246015836625035
225.0,2025-04-17,21.05,371.0,21.1,20.9,4.9,1202.0,4.85,4.8,79,0.2595709065955815
230.0,2025-04-17,17.51,961.0,17.55,17.4,6.52,597.0,6.35,6.25,79,0.2575921484473224
235.0,2025-04-17,14.21,534.0,14.4,14.2,8.45,162.0,8.2,8.1,79,0.24944955586874307
240.0,2025-04-17,11.5,1511.0,11.55,11.5,10.4,139.0,10.55,10.3,79,0.24738803698701187
245.0,2025-04-17,8.86,1908.0,9.1,9.0,13.2,383.0,13.15,13.05,79,0.23890888526140086
250.0,2025-04-17,6.9,1873.0,7.05,7.0,16.55,336.0,16.2,16.0,79,0.23777092762603036
255.0,2025-04-17,5.35,1338.0,5.4,5.3,19.8,67.0,19.7,19.45,79,0.2384799505764261
260.0,2025-04-17,4.05,969.0,4.1,4.0,23.0,77.0,23.5,23.25,79,0.2379911426469579
265.0,2025-04-17,3.05,5369.0,3.1,3.0,27.73,19.0,27.7,27.25,79,0.23857512821705476
270.0,2025-04-17,2.17,1458.0,2.26,2.23,33.25,12.0,32.1,31.8,79,0.23562980310341622
275.0,2025-04-17,1.65,838.0,1.7,1.66,37.0,10.0,36.7,36.3,79,0.23907183077953476
280.0,2025-04-17,1.2,783.0,1.27,1.25,57.45,71.0,41.45,41.0,79,0.23984003835692508
185.0,2025-05-16,57.11,14.0,57.9,56.85,1.25,47.0,1.05,1.02,108,0.33958982741913235
195.0,2025-05-16,48.15,2795.0,48.2,47.95,1.57,2984.0,1.6,1.58,108,0.30301141689429234
200.0,2025-05-16,44.12,237.0,43.65,43.0,2.03,2297.0,2.01,1.97,108,0.29636630419611504
210.0,2025-05-16,34.5,23.0,34.95,34.4,3.2,193.0,3.2,3.15,108,0.27982707047219013
215.0,2025-05-16,30.7,97.0,30.85,30.6,4.0,209.0,4.05,3.95,108,0.2720475069255092
220.0,2025-05-16,26.27,138.0,26.95,26.7,5.16,115.0,5.1,5.0,108,0.25387208407070583
225.0,2025-05-16,23.05,139.0,23.3,23.0,6.55,76.0,6.45,6.35,108,0.2598050757233197
230.0,2025-05-16,19.85,798.0,19.85,19.6,8.05,184.0,8.05,7.9,108,0.2592100521544532
235.0,2025-05-16,16.35,286.0,16.8,16.55,9.94,103.0,9.85,9.75,108,0.24683296011060465
240.0,2025-05-16,13.9,1413.0,13.95,13.85,12.25,84.0,12.1,12.0,108,0.24994330122098796
245.0,2025-05-16,11.4,336.0,11.5,11.4,15.01,65.0,14.7,14.55,108,0.2461547944138359
250.0,2025-05-16,9.35,1353.0,9.35,9.25,17.65,47.0,18.0,17.55,108,0.24536359549870965
260.0,2025-05-16,5.8,1343.0,6.0,5.85,24.74,63.0,24.6,24.3,108,0.2377115917253075
265.0,2025-05-16,4.5,279.0,4.7,4.65,30.55,15.0,28.9,28.15,108,0.23546100108145662
50.0,2025-06-20,180.68,37.0,190.2,189.2,0.03,15.0,0.04,0.01,143,0.3199660689222619
60.0,2025-06-20,162.9,38.0,180.25,179.3,0.04,100.0,0.19,0.02,143,0.3199660689222619
65.0,2025-06-20,165.34,55.0,175.45,174.4,0.04,1637.0,0.06,0.03,143,0.3199660689222619
110.0,2025-06-20,117.97,34.0,131.35,130.35,0.18,110.0,0.19,0.18,143,0.5432311149734186
120.0,2025-06-20,121.25,8.0,121.7,120.9,0.26,50.0,0.25,0.23,143,0.5124873447048214
170.0,2025-06-20,72.53,11.0,73.1,72.45,0.9,88.0,0.91,0.87,143,0.3470428699341984
180.0,2025-06-20,62.8,70.0,63.4,63.1,1.24,135.0,1.27,1.24,143,0.32222797135495707
190.0,2025-06-20,53.39,11.0,54.15,53.85,1.77,722.0,1.84,1.79,143,0.30067303172440024
195.0,2025-06-20,49.38,26.0,49.6,49.25,2.2,108.0,2.25,2.19,143,0.29346363518947616
200.0,2025-06-20,44.6,273.0,45.2,44.85,2.75,1607.0,2.74,2.7,143,0.2873433110291738
205.0,2025-06-20,40.23,10.0,40.95,40.65,3.35,43.0,3.4,3.3,143,0.2794308677112429
210.0,2025-06-20,36.27,103.0,36.7,36.5,4.05,37.0,4.15,4.05,143,0.2643245983375641
215.0,2025-06-20,32.35,101.0,32.7,32.5,5.15,181.0,5.15,5.0,143,0.2693639899759151
220.0,2025-06-20,28.67,322.0,28.9,28.7,6.15,135.0,6.25,6.1,143,0.2582126887085377
225.0,2025-06-20,25.16,218.0,25.35,25.15,7.75,1188.0,7.6,7.5,143,0.26137133886685965
230.0,2025-06-20,21.88,569.0,21.95,21.75,9.15,787.0,9.2,9.1,143,0.2533998470828484
235.0,2025-06-20,18.8,806.0,18.8,18.6,11.05,714.0,11.15,11.0,143,0.24750869073463408
240.0,2025-06-20,16.0,1787.0,16.1,15.95,13.55,536.0,13.4,13.2,143,0.24405868090698057
245.0,2025-06-20,13.49,394.0,13.5,13.4,15.81,480.0,15.9,15.7,143,0.24816440051199726
250.0,2025-06-20,11.15,3130.0,11.3,11.15,18.47,149.0,18.7,18.55,143,0.23668901012157453
255.0,2025-06-20,9.27,1085.0,9.3,9.2,22.41,34.0,21.85,21.55,143,0.2356370978556296
260.0,2025-06-20,7.6,1039.0,7.65,7.55,25.35,104.0,25.35,24.9,143,0.2339639905655101
265.0,2025-06-20,6.15,921.0,6.25,6.15,29.35,112.0,29.15,28.95,143,0.23205027123402716
270.0,2025-06-20,4.85,748.0,5.05,4.95,33.1,20.0,33.2,32.85,143,0.22873282189126498
275.0,2025-06-20,3.95,343.0,4.1,3.95,41.25,16.0,37.6,36.8,143,0.22975472422085064
290.0,2025-06-20,2.03,360.0,2.09,2.04,59.5,10.0,51.45,50.8,143,0.2312569851656423
185.0,2025-07-18,45.0,14.0,59.75,59.2,1.83,13.0,1.89,1.84,171,0.06083631461905955
195.0,2025-07-18,50.6,18.0,50.75,50.45,2.75,6.0,2.72,2.67,171,0.28915394561583224
205.0,2025-07-18,42.5,30.0,42.05,41.9,4.0,27.0,4.0,3.9,171,0.28649092933202136
210.0,2025-07-18,37.94,24.0,38.05,37.8,4.82,474.0,4.85,4.7,171,0.26994599553735915
215.0,2025-07-18,33.75,53.0,34.2,33.9,5.8,109.0,5.8,5.7,171,0.26419043094063493
220.0,2025-07-18,29.96,291.0,30.35,30.15,7.05,176.0,7.0,6.9,171,0.2509790201854417
225.0,2025-07-18,26.6,95.0,26.85,26.55,8.36,479.0,8.4,8.3,171,0.2547435372546526
230.0,2025-07-18,23.21,199.0,23.5,23.3,10.0,143.0,10.05,9.9,171,0.24434313894306428
235.0,2025-07-18,20.1,128.0,20.5,20.15,11.9,80.0,11.95,11.75,171,0.2400140046040731
240.0,2025-07-18,17.55,604.0,17.45,17.4,14.14,168.0,14.15,14.0,171,0.2408488534201645
245.0,2025-07-18,14.94,192.0,15.0,14.85,16.5,19.0,16.6,16.45,171,0.23693927318651106
250.0,2025-07-18,12.61,342.0,12.7,12.55,19.5,56.0,19.5,19.35,171,0.23363671275468936
260.0,2025-07-18,8.85,245.0,8.9,8.8,26.15,21.0,25.9,25.55,171,0.2299333612709511
265.0,2025-07-18,7.12,318.0,7.4,7.25,29.85,143.0,29.6,29.35,171,0.2248938858631014
270.0,2025-07-18,5.84,1248.0,6.1,6.0,33.85,157.0,33.55,33.3,171,0.22382291158377327
275.0,2025-07-18,4.8,74.0,5.05,4.9,45.49,59.0,37.8,37.5,171,0.22377899492126813
195.0,2025-08-15,44.35,12.0,52.0,51.6,3.29,14.0,3.4,3.3,199,0.2879022504942916
220.0,2025-08-15,32.15,14.0,31.95,31.75,7.8,30.0,8.05,7.95,199,0.2590679799050902
225.0,2025-08-15,28.35,89.0,28.55,28.3,9.65,26.0,9.55,9.4,199,0.25233303617078046
230.0,2025-08-15,25.15,136.0,25.25,25.05,11.23,149.0,11.2,11.05,199,0.2569905150610806
235.0,2025-08-15,21.97,92.0,22.25,22.0,13.25,416.0,13.15,13.0,199,0.2558308931217224
240.0,2025-08-15,19.0,89.0,19.35,19.2,15.22,78.0,15.3,15.1,199,0.23822920300962055
250.0,2025-08-15,14.84,107.0,14.45,14.3,24.86,10.0,20.5,20.3,199,0.24330811901683522
265.0,2025-08-15,8.95,45.0,8.9,8.75,35.85,32.0,30.35,29.9,199,0.23292211886472838
270.0,2025-08-15,7.7,104.0,7.45,7.35,34.05,17.0,34.15,33.65,199,0.23427083834259668
280.0,2025-08-15,5.3,28.0,5.2,5.1,45.9,34.0,42.9,42.05,199,0.3336749575128012
305.0,2025-08-15,1.17,22.0,2.07,2.02,51.05,11.0,84.35,82.3,199,0.19967189159838358
70.0,2025-09-19,160.97,36.0,171.35,170.05,0.12,20.0,0.15,0.1,234,0.23951692577166056
100.0,2025-09-19,135.26,24.0,142.4,141.05,0.28,24.0,0.29,0.25,234,0.5060174528911787
120.0,2025-09-19,128.65,24.0,123.0,121.95,0.47,50.0,0.47,0.43,234,0.44332699615268045
140.0,2025-09-19,101.58,296.0,103.95,103.0,0.73,200.0,0.76,0.71,234,0.11441655169890644
180.0,2025-09-19,58.86,6.0,66.35,65.8,2.36,10.0,2.42,2.35,234,0.30446305621743536
195.0,2025-09-19,49.15,7.0,53.2,52.9,3.88,14.0,4.0,3.9,234,0.2842459729314038
200.0,2025-09-19,48.45,62.0,49.05,48.75,4.55,9.0,4.7,4.6,234,0.263428777992371
205.0,2025-09-19,44.5,12.0,45.0,44.65,5.58,68.0,5.5,5.4,234,0.27661406353552775
210.0,2025-09-19,41.75,19.0,41.05,40.7,6.6,18.0,6.5,6.4,234,0.27874837469013636
220.0,2025-09-19,33.32,52.0,33.7,33.45,9.06,253.0,8.95,8.8,234,0.26417511362704904
225.0,2025-09-19,30.52,71.0,30.25,30.0,10.35,250.0,10.45,10.25,234,0.25746691666112625
230.0,2025-09-19,26.63,63.0,27.05,26.7,12.38,34.0,12.1,11.95,234,0.24292414550546051
235.0,2025-09-19,23.9,92.0,24.0,23.7,14.4,101.0,14.05,13.9,234,0.25801088383336784
240.0,2025-09-19,20.77,440.0,21.1,20.9,16.29,129.0,16.2,16.05,234,0.2364275643103233
250.0,2025-09-19,16.0,1155.0,16.1,15.95,20.93,191.0,21.35,21.15,234,0.23369646201930722
255.0,2025-09-19,13.55,196.0,13.95,13.75,26.4,16.0,24.3,24.1,234,0.22742893079298926
270.0,2025-09-19,8.7,127.0,8.75,8.6,34.33,7.0,34.75,34.4,234,0.2261673393003329
275.0,2025-09-19,7.49,292.0,7.45,7.3,38.5,11.0,38.7,38.25,234,0.2265964921014725
190.0,2025-10-17,44.25,13.0,59.55,57.65,3.65,43.0,3.75,3.6,262,0.28669535866633494
200.0,2025-10-17,46.5,7.0,50.4,49.75,5.13,91.0,5.15,5.05,262,0.2776313105251749
210.0,2025-10-17,41.45,9.0,42.85,41.95,7.1,401.0,7.05,6.9,262,0.2695918096655264
225.0,2025-10-17,30.7,12.0,31.5,30.8,10.93,8.0,11.05,10.9,262,0.2379536542721055
230.0,2025-10-17,28.57,22.0,28.35,28.05,12.81,7.0,12.8,12.65,262,0.2497363450266138
235.0,2025-10-17,25.07,29.0,25.3,25.0,14.75,75.0,14.8,14.6,262,0.2531298383526973
240.0,2025-10-17,22.0,26.0,22.45,22.2,16.75,21.0,16.9,16.7,262,0.23376477708269036
275.0,2025-10-17,8.5,19.0,8.5,8.4,48.1,16.0,40.75,38.25,262,0.22510777274403646
55.0,2025-12-19,170.55,10.0,176.3,172.65,0.1,200.0,0.14,0.08,325,0.6205150790084514
110.0,2025-12-19,122.53,12.0,134.0,132.6,0.53,13.0,0.56,0.5,325,0.4307563519078788
185.0,2025-12-19,64.95,65.0,64.9,64.55,4.17,28.0,4.25,4.1,325,0.28618238311418565
200.0,2025-12-19,52.51,29.0,52.8,52.35,6.51,146.0,6.5,6.35,325,0.2804586880638926
210.0,2025-12-19,44.6,10.0,45.2,44.7,8.7,34.0,8.6,8.45,325,0.27362136299679307
215.0,2025-12-19,41.05,6.0,41.45,41.15,9.56,55.0,9.9,9.7,325,0.2642891765940323
220.0,2025-12-19,37.43,5783.0,38.05,37.7,11.87,21.0,11.3,11.1,325,0.24704089741695368
225.0,2025-12-19,35.3,341.0,34.7,34.4,12.72,193.0,12.85,12.7,325,0.2591998043297268
230.0,2025-12-19,31.1,182.0,31.55,31.2,14.66,66.0,14.65,14.45,325,0.24269580812502528
235.0,2025-12-19,28.0,17.0,28.55,28.25,16.58,13.0,16.6,16.35,325,0.23843265006688522
240.0,2025-12-19,24.95,194.0,25.7,25.35,18.69,1435.0,18.75,18.5,325,0.25653754275127116
245.0,2025-12-19,23.57,202.0,23.05,22.85,21.2,59.0,21.05,20.9,325,0.2445822366883275
250.0,2025-12-19,20.35,255.0,20.6,20.4,23.55,6.0,23.7,23.45,325,0.23339577811569484
265.0,2025-12-19,13.95,26.0,14.4,14.2,35.11,42.0,32.95,32.1,325,0.28665454282131775
285.0,2025-12-19,8.28,54.0,8.55,8.35,36.0,12.0,48.85,47.35,325,0.22205231559629818
30.0,2026-01-16,200.79,74.0,211.35,208.0,0.05,2279.0,0.06,0.01,353,0.3199660689222619
45.0,2026-01-16,186.55,90.0,212.3,209.8,0.08,13.0,0.11,0.08,353,0.27479057097348425
95.0,2026-01-16,134.5,10.0,149.4,146.15,0.44,6.0,0.43,0.37,353,0.16410336409921925
115.0,2026-01-16,120.0,11.0,130.3,127.55,0.67,17.0,0.67,0.64,353,0.4096868419147097
120.0,2026-01-16,117.03,8.0,124.95,123.1,0.8,10.0,0.8,0.73,353,0.4013557117379694
140.0,2026-01-16,105.65,11.0,107.05,105.15,1.27,37.0,1.31,1.24,353,0.3556863215514799
180.0,2026-01-16,69.43,47.0,70.15,69.8,3.94,26.0,4.0,3.8,353,0.27226809790849577
185.0,2026-01-16,65.4,75.0,65.95,65.55,4.47,17.0,4.55,4.4,353,0.2730622959657623
190.0,2026-01-16,61.3,16.0,61.8,61.5,5.23,47.0,5.3,5.1,353,0.28764522052314734
195.0,2026-01-16,57.65,10.0,57.8,57.2,6.05,38.0,6.05,5.9,353,0.2835599667902369
200.0,2026-01-16,53.67,120.0,53.95,53.5,6.95,50.0,6.95,6.85,353,0.26805506124820033
205.0,2026-01-16,50.25,8.0,50.0,49.7,7.9,7.0,8.0,7.8,353,0.27034616263675304
210.0,2026-01-16,45.85,47.0,46.25,46.0,9.05,118.0,9.1,8.95,353,0.2706928939693834
215.0,2026-01-16,42.1,38.0,42.8,42.4,10.4,40.0,10.4,10.2,353,0.26828882256669623
220.0,2026-01-16,39.0,262.0,39.35,38.95,11.9,235.0,11.85,11.6,353,0.2512677690645179
225.0,2026-01-16,35.44,169.0,36.25,35.65,13.35,16.0,13.45,13.25,353,0.24469174009951594
230.0,2026-01-16,32.5,318.0,32.95,32.55,15.2,220.0,15.3,15.05,353,0.2440939732794525
235.0,2026-01-16,29.7,198.0,29.9,29.6,17.2,201.0,17.2,16.95,353,0.2591145290367851
240.0,2026-01-16,26.8,583.0,27.1,26.75,19.45,891.0,19.3,19.1,353,0.25894051899839915
245.0,2026-01-16,23.86,210.0,24.35,24.15,21.65,34.0,21.65,21.45,353,0.2335287132663508
250.0,2026-01-16,21.45,427.0,21.9,21.65,24.46,38.0,24.25,24.0,353,0.23171369356255975
255.0,2026-01-16,19.35,43.0,19.65,19.5,31.64,13.0,27.1,26.85,353,0.23146774675803092
285.0,2026-01-16,9.4,133.0,9.45,9.35,41.25,64.0,50.25,48.95,353,0.22404962964749645
300.0,2026-01-16,6.3,1614.0,6.35,6.2,77.45,588.0,61.95,60.75,353,0.22155591772193808
105.0,2026-06-18,143.13,40.0,141.7,138.6,0.87,1484.0,0.89,0.8,506,0.4035485810187563
155.0,2026-06-18,85.0,31.0,96.4,94.0,3.03,13.0,3.05,2.92,506,0.0608343841726291
185.0,2026-06-18,63.5,13.0,70.6,70.15,7.45,18.0,6.55,6.4,506,0.3048839974212827
200.0,2026-06-18,58.8,19.0,59.2,58.9,9.5,17.0,9.4,9.25,506,0.25793697757932726
205.0,2026-06-18,55.0,15.0,55.7,55.0,12.3,34.0,10.6,10.4,506,0.2981623946095388
220.0,2026-06-18,45.06,44.0,45.5,45.05,14.85,45.0,14.9,14.6,506,0.26999770701581877
235.0,2026-06-18,36.39,77.0,36.45,35.65,20.5,17.0,20.4,20.15,506,0.2450006254707994
240.0,2026-06-18,33.95,83.0,33.7,33.25,22.45,9.0,22.55,22.3,506,0.24576868188375436
270.0,2026-06-18,19.45,134.0,20.0,19.7,50.83,22.0,39.3,38.3,506,0.2269395014574769
200.0,2026-12-18,64.55,36.0,65.05,64.2,11.78,7.0,11.9,11.65,689,0.25253102760587753
220.0,2026-12-18,51.31,310.0,52.0,51.5,17.7,10.0,17.75,17.4,689,0.24380580772911226
230.0,2026-12-18,45.48,130.0,46.0,45.55,21.29,14.0,21.35,21.05,689,0.24135478189314463
330.0,2026-12-18,7.8,33.0,10.0,9.7,92.1,6.0,92.5,89.9,689,0.1993351216342847
50.0,2027-01-15,173.75,11.0,194.0,190.45,0.34,11.0,0.37,0.33,717,0.531336066162444
160.0,2027-01-15,95.87,6.0,96.55,95.5,5.09,10.0,5.0,4.8,717,0.30801596804765435
175.0,2027-01-15,83.82,203.0,84.45,83.5,7.7,18.0,7.15,6.9,717,0.26377312430455485
180.0,2027-01-15,72.68,25.0,80.55,79.4,7.92,27.0,7.95,7.75,717,0.29210304399799386
200.0,2027-01-15,65.6,168.0,66.0,65.55,12.2,81.0,12.3,12.0,717,0.2543584672121107
220.0,2027-01-15,53.25,50.0,52.95,52.5,18.05,17.0,18.15,17.75,717,0.253004464263195
230.0,2027-01-15,46.53,731.0,46.95,46.55,21.71,92.0,21.8,21.4,717,0.24198792395825042
250.0,2027-01-15,36.01,190.0,36.35,36.05,30.45,57.0,30.7,30.2,717,0.23576238638839558
260.0,2027-01-15,31.55,85.0,31.75,31.4,35.5,10.0,35.95,35.5,717,0.23402978402114433
270.0,2027-01-15,27.2,26.0,27.55,27.2,41.85,9.0,41.95,41.45,717,0.23002310444553223
